gender,faculty,age,has_scholarship,hours_studied_weekly,attendance_rate,previous_mark,exam_score
Female,Psychology,18,True,7.1,,9.05,8.62
Female,Electrical Engineering,19,False,11.2,63.2,7.72,8.35
Male,Computer Science,24,False,4.3,65.2,5.19,5.58
Female,Electrical Engineering,23,True,11.7,51.3,6.76,7.81
Female,Computer Science,18,False,5.5,58.4,6.56,6.58
Female,Electrical Engineering,19,False,15.3,50.2,6.9,8.13
Female,Mathematics,18,False,21.7,69.6,8.12,10.0
Female,Electrical Engineering,18,True,5.7,78.2,7.38,7.88
Male,Nuclear Sciences,19,False,12.7,81.1,7.42,8.72
Female,Computer Science,19,True,6.4,,8.94,9.0
Female,Mathematics,18,True,15.2,60.4,6.73,8.5
Female,Nuclear Sciences,24,False,3.7,50.7,9.55,8.25
Male,Mathematics,22,False,12.4,52.4,6.76,7.64
Male,Electrical Engineering,19,False,5.6,57.3,7.6,7.31
Female,Psychology,23,True,9.0,61.1,7.19,7.9
Female,Mathematics,20,False,4.8,68.4,7.64,7.44
Male,Mathematics,21,False,14.1,59.9,7.99,8.91
Female,Computer Science,18,False,5.8,73.4,7.98,7.92
Male,Electrical Engineering,18,False,12.8,67.7,6.67,7.94
Male,Mathematics,21,True,8.3,,6.26,7.33
Male,Psychology,22,False,9.4,81.4,10.25,10.0
Male,Mathematics,21,False,10.7,58.2,6.97,7.65
Female,Psychology,19,True,6.2,,8.27,8.5
Male,Electrical Engineering,21,True,11.1,69.9,5.73,7.37
Female,Nuclear Sciences,18,True,17.7,66.7,7.19,9.32
Female,Mathematics,21,True,6.1,78.9,7.36,7.94
Female,Electrical Engineering,20,False,15.9,78.8,8.02,9.57
Female,Electrical Engineering,23,False,17.5,60.5,4.51,6.99
Male,Psychology,19,True,5.9,68.2,7.68,7.92
Female,Nuclear Sciences,21,True,2.7,72.8,6.24,6.53
Female,Computer Science,18,False,11.5,67.3,7.86,8.57
Male,Computer Science,24,False,7.3,75.9,,7.06
Female,Electrical Engineering,23,False,19.3,72.8,6.56,8.94
Female,Mathematics,19,False,10.2,88.3,7.2,8.34
Female,Electrical Engineering,18,False,6.0,54.7,6.34,6.43
Female,Electrical Engineering,22,True,4.3,68.8,6.98,7.21
Female,Computer Science,20,True,15.4,60.9,6.19,8.16
Male,Electrical Engineering,22,False,,76.0,5.48,6.42
Female,Mathematics,20,False,10.2,53.8,8.62,8.64
Female,Psychology,21,False,14.8,73.5,6.07,7.94
Male,Psychology,19,False,7.6,63.7,7.3,7.52
Male,Nuclear Sciences,21,False,9.8,,8.33,8.56
Male,Computer Science,20,True,9.9,55.5,6.82,7.67
Female,Mathematics,20,False,13.4,65.3,6.59,7.93
Female,Psychology,20,True,13.0,,7.75,9.29
Male,Electrical Engineering,23,True,8.9,,,9.14
Female,Psychology,18,False,10.3,76.3,6.21,7.42
Male,Computer Science,19,False,8.1,86.6,7.33,8.08
Female,Mathematics,21,False,2.6,72.6,5.59,5.76
Female,Mathematics,21,False,11.3,64.4,7.07,7.93
Female,Electrical Engineering,22,True,19.5,74.7,7.54,10.0
Male,Mathematics,20,True,,64.6,6.56,7.02
Male,Computer Science,24,False,6.1,65.0,7.0,7.11
Male,Nuclear Sciences,20,False,5.6,54.8,5.95,6.1
Male,Computer Science,20,False,13.6,79.3,7.58,8.93
Female,Nuclear Sciences,24,False,12.2,66.1,8.66,9.21
Female,Psychology,21,False,9.2,71.8,6.29,7.22
Female,Electrical Engineering,22,False,5.4,59.6,6.82,6.78
Female,Mathematics,18,True,10.5,74.4,8.05,9.0
Female,Computer Science,24,False,2.2,62.4,8.83,7.76
Female,Electrical Engineering,23,False,10.7,68.6,5.86,7.08
Female,Electrical Engineering,19,True,14.4,78.8,7.31,9.15
Female,Electrical Engineering,24,False,3.7,77.9,7.81,7.58
Male,Computer Science,18,False,2.3,69.8,7.39,6.91
Male,Electrical Engineering,21,False,17.9,52.3,4.78,7.08
Male,Electrical Engineering,23,True,6.9,99.9,8.05,8.97
Female,Psychology,23,False,15.7,87.5,9.17,10.0
Female,Electrical Engineering,23,True,9.2,77.2,7.63,8.56
Male,Electrical Engineering,20,False,,62.5,6.37,7.09
Female,Psychology,19,True,12.2,,,8.37
Female,Computer Science,21,True,5.6,64.6,9.45,9.05
Male,Mathematics,21,False,10.7,82.6,8.5,9.21
Male,Computer Science,23,False,8.1,72.6,8.2,8.41
Female,Mathematics,21,True,3.4,62.2,7.89,7.58
Female,Mathematics,19,True,11.7,65.3,6.77,8.1
Female,Computer Science,19,False,8.7,81.2,7.28,8.02
Female,Mathematics,22,False,9.2,86.0,7.41,8.29
Female,Computer Science,24,False,3.9,85.3,8.1,7.96
Female,Electrical Engineering,24,True,18.0,77.6,9.16,10.0
Female,Nuclear Sciences,22,False,14.4,67.5,8.73,9.62
Female,Computer Science,18,True,14.8,37.6,5.94,7.43
Male,Nuclear Sciences,24,True,8.5,73.0,,8.46
Male,Psychology,19,False,1.4,70.0,8.31,7.43
Male,Mathematics,19,False,19.8,71.4,8.18,10.0
Female,Computer Science,24,False,9.7,70.5,6.81,7.63
Female,Psychology,19,False,6.3,56.7,,9.58
Female,Electrical Engineering,22,False,12.1,75.6,6.1,7.6
Male,Electrical Engineering,23,False,15.8,76.3,6.31,8.31
Male,Computer Science,23,False,9.9,76.8,7.76,8.45
Male,Computer Science,21,True,,79.5,9.83,10.0
Male,Mathematics,23,True,15.4,76.0,6.58,8.74
Female,Mathematics,20,False,4.6,65.9,7.21,7.06
Male,Computer Science,22,False,6.6,69.3,8.69,8.46
Male,Mathematics,19,True,14.8,70.9,7.48,9.17
Female,Electrical Engineering,24,False,-3.6,71.1,7.13,5.87
Male,Nuclear Sciences,23,True,9.3,80.0,8.12,8.98
Female,Mathematics,22,False,2.8,76.4,7.8,7.41
Female,Nuclear Sciences,23,True,7.6,90.8,8.63,9.3
Male,Mathematics,18,False,8.5,92.1,8.92,9.36
Female,Mathematics,19,False,8.2,70.8,7.84,8.13
Female,Computer Science,18,True,7.2,31.6,7.82,7.49
Female,Psychology,19,False,4.5,82.4,7.74,7.74
Male,Nuclear Sciences,22,False,21.5,64.6,8.04,10.0
Female,Psychology,21,False,19.3,62.0,7.56,9.43
Male,Mathematics,23,False,4.2,,7.5,7.2
Male,Psychology,23,False,17.9,65.5,8.82,10.0
Male,Computer Science,20,True,8.0,76.1,9.17,9.44
Female,Electrical Engineering,24,False,10.6,54.4,5.84,6.77
Male,Psychology,18,True,9.7,59.2,7.51,8.2
Male,Mathematics,23,True,6.7,73.4,6.74,7.49
Female,Psychology,22,True,14.9,76.2,7.16,9.07
Male,Psychology,21,False,10.6,76.4,,8.68
Male,Computer Science,24,False,7.6,62.1,,8.15
Male,Psychology,22,True,3.5,60.2,7.38,7.19
Male,Computer Science,18,True,5.5,64.9,5.4,6.2
Male,Electrical Engineering,20,False,1.8,72.4,6.44,6.23
Male,Electrical Engineering,23,True,10.1,84.9,8.49,9.46
Female,Electrical Engineering,22,True,,49.5,4.49,5.03
Male,Psychology,24,True,8.7,67.8,8.81,9.13
Male,Psychology,19,False,16.9,56.7,8.07,9.32
Female,Computer Science,21,False,16.0,53.5,8.95,9.74
Male,Electrical Engineering,24,False,9.8,79.7,7.28,8.16
Female,Mathematics,22,False,9.6,75.4,,6.61
Male,Mathematics,21,False,19.4,74.5,7.97,9.98
Male,Mathematics,23,False,12.6,79.2,8.9,9.7
Male,Computer Science,19,False,8.4,65.2,8.52,8.53
Male,Psychology,20,False,2.9,65.7,6.77,6.49
Male,Computer Science,24,True,12.0,91.9,7.6,9.26
Male,Electrical Engineering,20,True,14.1,67.5,6.91,8.6
Male,Mathematics,19,False,6.8,77.4,6.6,7.19
Male,Computer Science,21,False,11.5,70.1,8.55,9.11
Male,Psychology,23,False,8.2,51.5,6.18,6.59
Male,Computer Science,22,False,9.1,49.6,6.52,6.92
Male,Mathematics,19,False,-2.4,64.2,6.29,5.33
Male,Electrical Engineering,18,True,8.9,80.6,5.86,7.35
Female,Computer Science,21,False,14.8,77.9,7.66,9.14
Male,Electrical Engineering,20,False,6.8,79.1,8.78,8.75
Female,Computer Science,24,False,10.3,60.1,7.3,7.86
Female,Computer Science,19,False,6.2,86.2,5.84,6.74
Male,Electrical Engineering,20,False,11.8,60.4,8.42,8.87
Female,Mathematics,21,True,8.9,72.1,9.35,9.62
Female,Computer Science,20,False,5.3,69.9,6.79,6.95
Male,Mathematics,19,True,16.7,68.3,6.97,9.05
Male,Mathematics,21,False,,83.4,8.07,9.51
Female,Electrical Engineering,18,False,7.0,62.9,9.28,8.8
Female,Mathematics,19,False,,56.5,6.93,7.86
Male,Electrical Engineering,22,False,12.7,70.2,6.03,7.53
Male,Electrical Engineering,23,False,13.2,66.0,8.19,9.03
Male,Mathematics,19,False,1.5,103.8,8.38,8.17
Male,Nuclear Sciences,21,False,,76.8,7.51,9.04
Female,Mathematics,24,False,7.2,65.9,6.89,7.22
Male,Nuclear Sciences,23,False,8.2,59.4,8.59,8.43
Male,Computer Science,19,False,23.2,51.2,8.08,10.0
Female,Psychology,18,True,11.5,59.7,6.65,7.87
Male,Mathematics,24,False,8.1,71.1,7.55,7.92
Male,Mathematics,18,False,-1.0,84.3,6.01,5.74
Female,Psychology,22,True,16.9,81.2,8.25,10.0
Female,Electrical Engineering,24,True,3.3,72.3,7.21,7.29
Female,Computer Science,20,True,,66.8,7.02,7.3
Female,Computer Science,24,False,8.3,72.7,7.46,7.92
Male,Electrical Engineering,23,False,17.1,,7.54,9.14
Male,Psychology,24,False,,87.2,8.48,9.76
Female,Nuclear Sciences,21,True,9.2,68.1,8.15,8.75
Male,Electrical Engineering,21,False,11.5,69.1,,8.24
Male,Nuclear Sciences,20,True,7.0,,8.34,8.14
Male,Electrical Engineering,24,False,10.7,68.0,7.94,8.52
Male,Mathematics,18,False,10.4,78.4,7.03,8.05
Male,Computer Science,18,True,14.8,59.3,7.36,8.86
Male,Electrical Engineering,19,False,14.8,62.5,7.34,8.61
Male,Psychology,22,True,,77.9,8.06,9.38
Male,Computer Science,23,False,8.2,55.2,7.1,7.3
Female,Mathematics,22,False,13.7,80.6,7.07,8.62
Female,Nuclear Sciences,24,False,,64.7,9.67,9.49
Female,Psychology,22,True,4.6,66.1,8.53,8.28
Female,Mathematics,19,True,8.0,58.8,6.66,7.34
Male,Mathematics,22,False,10.4,,8.13,8.73
Male,Computer Science,20,True,14.6,94.6,,9.72
Female,Mathematics,19,False,9.1,77.8,7.93,8.47
Female,Mathematics,20,False,4.0,,7.65,7.18
Female,Computer Science,24,True,10.3,81.4,8.81,9.64
Male,Electrical Engineering,19,True,,66.8,7.88,8.74
Male,Mathematics,24,False,,83.7,7.43,8.51
Male,Electrical Engineering,24,False,14.6,78.1,8.65,9.81
Male,Electrical Engineering,22,False,15.1,40.6,7.76,8.51
Female,Computer Science,20,False,7.0,60.0,7.63,7.59
Female,Psychology,24,False,6.9,79.4,7.85,8.12
Male,Mathematics,20,True,4.8,71.5,7.4,7.63
Female,Electrical Engineering,20,False,13.5,59.8,7.51,8.48
Female,Computer Science,19,False,17.2,63.7,6.85,8.65
Male,Psychology,21,True,8.4,,6.67,7.25
Male,Psychology,22,True,8.8,69.1,6.4,7.48
Male,Mathematics,24,True,17.3,92.1,5.97,8.92
Male,Computer Science,20,True,,78.0,6.53,8.31
Male,Psychology,23,False,12.2,91.9,7.31,8.78
Male,Electrical Engineering,21,False,4.0,78.8,7.61,7.5
Male,Mathematics,24,True,13.4,80.3,7.2,8.96
Male,Psychology,23,False,5.4,89.7,4.91,6.04
Female,Mathematics,22,False,4.3,73.8,9.23,8.58
Male,Electrical Engineering,22,False,8.3,68.1,8.7,8.7
Female,Computer Science,20,False,7.1,80.3,7.99,8.26
Male,Electrical Engineering,20,True,8.9,84.5,9.6,10.0
Female,Mathematics,24,False,2.8,65.2,6.42,6.22
Male,Mathematics,19,False,14.8,62.8,9.58,10.0
Male,Computer Science,21,True,15.6,71.4,6.44,8.58
Female,Computer Science,24,True,0.3,78.3,7.76,7.34
Female,Psychology,21,True,,78.0,6.1,8.36
Female,Mathematics,20,True,5.9,,7.52,7.56
Male,Electrical Engineering,22,False,14.3,89.1,7.92,9.47
Male,Computer Science,20,False,,63.6,7.33,7.86
Female,Mathematics,22,False,10.1,67.3,8.29,8.66
Female,Mathematics,24,False,9.1,61.0,7.61,7.91
Female,Computer Science,22,False,16.1,,6.93,9.21
Female,Computer Science,20,False,3.8,72.4,6.88,6.83
Male,Mathematics,18,False,13.0,61.5,8.39,9.05
Female,Mathematics,21,True,15.5,78.6,6.78,8.94
Male,Mathematics,23,False,13.6,77.7,8.51,9.55
Male,Psychology,22,False,21.6,68.1,8.84,10.0
Male,Psychology,22,True,7.4,78.4,5.66,6.94
Male,Computer Science,18,False,14.8,,8.75,9.58
Male,Mathematics,24,False,9.5,65.1,9.77,9.57
Male,Nuclear Sciences,24,False,16.2,49.9,7.78,8.87
Female,Psychology,24,False,10.0,56.8,8.16,8.35
Male,Psychology,23,False,8.1,88.1,8.64,9.02
Female,Mathematics,19,False,16.5,86.4,7.2,9.24
Male,Electrical Engineering,18,False,7.5,70.7,7.7,7.93
Male,Electrical Engineering,23,False,2.9,86.6,6.05,6.4
Female,Psychology,18,False,7.4,68.4,7.65,7.83
Male,Nuclear Sciences,22,False,,67.6,8.05,8.95
Male,Computer Science,21,False,17.0,70.6,8.07,9.61
Male,Computer Science,18,False,,68.8,8.67,9.04
Male,Electrical Engineering,19,False,16.6,67.8,6.65,8.5
Female,Electrical Engineering,20,True,,81.4,6.91,7.24
Male,Computer Science,23,True,7.8,71.5,9.59,9.61
Female,Mathematics,18,True,8.6,77.1,7.33,8.26
Male,Computer Science,18,False,9.4,80.3,7.72,8.42
Female,Mathematics,19,True,10.4,73.9,7.43,8.54
Female,Electrical Engineering,21,True,13.5,60.3,6.6,8.15
Female,Psychology,18,False,7.8,56.5,9.29,8.8
Male,Mathematics,18,False,10.7,71.5,6.92,7.88
Male,Mathematics,21,False,9.8,,6.26,7.22
Male,Computer Science,19,True,5.4,70.9,7.0,7.43
Female,Mathematics,23,False,9.4,69.8,5.3,6.52
Female,Psychology,23,False,9.3,95.8,6.78,8.06
Female,Nuclear Sciences,18,False,9.2,56.7,6.44,7.02
Male,Electrical Engineering,21,False,10.2,50.1,8.18,8.26
Female,Computer Science,18,False,10.4,73.3,6.76,7.76
Female,Electrical Engineering,24,True,7.8,66.2,8.48,8.73
Male,Electrical Engineering,20,True,16.4,,9.04,10.0
Male,Electrical Engineering,23,True,4.2,75.8,8.36,8.3
Female,Mathematics,24,False,6.4,82.8,7.26,7.7
Female,Mathematics,22,False,23.9,54.9,7.66,10.0
Female,Mathematics,20,False,4.8,64.4,5.82,6.08
Male,Computer Science,18,True,3.2,74.3,7.35,7.41
Female,Computer Science,19,False,13.7,77.7,6.55,8.19
Male,Computer Science,23,False,-0.4,91.9,8.26,7.56
Male,Mathematics,22,False,8.8,79.6,10.33,10.0
Male,Electrical Engineering,20,False,20.7,69.4,8.05,10.0
Female,Mathematics,23,True,2.3,61.1,5.31,5.58
Female,Computer Science,21,False,0.1,64.4,7.1,6.27
Female,Nuclear Sciences,19,False,2.5,,7.63,7.0
Male,Nuclear Sciences,20,True,14.5,76.6,7.6,9.33
Female,Electrical Engineering,21,True,15.6,,6.7,8.78
Male,Nuclear Sciences,24,False,7.4,56.8,7.77,7.68
Female,Psychology,18,False,,65.6,6.13,7.61
Male,Nuclear Sciences,21,False,17.0,78.8,6.46,8.65
Male,Computer Science,20,True,18.9,73.5,,10.0
Male,Mathematics,20,False,8.8,75.7,6.38,7.3
Male,Computer Science,24,False,-1.5,73.8,,6.91
Female,Computer Science,18,False,5.9,86.3,5.99,6.8
Male,Computer Science,21,False,7.9,72.4,9.44,9.24
Male,Psychology,21,True,8.7,66.1,6.65,7.58
Female,Electrical Engineering,18,False,9.1,60.8,7.25,7.66
Male,Psychology,21,False,15.6,72.5,7.86,9.29
Female,Computer Science,23,False,16.4,45.6,6.88,8.19
Female,Electrical Engineering,18,False,9.1,68.2,7.66,8.09
Female,Psychology,19,False,15.5,67.9,8.13,9.37
Male,Mathematics,20,False,11.8,56.4,8.56,8.89
Female,Psychology,19,False,10.3,60.7,8.37,8.62
Female,Mathematics,23,False,14.5,,7.31,8.85
Male,Mathematics,24,False,10.4,72.3,7.34,8.14
Male,Nuclear Sciences,23,False,20.3,71.0,10.08,10.0
Female,Mathematics,22,False,2.8,73.1,8.54,7.86
Female,Mathematics,22,False,7.4,70.9,6.49,7.07
Female,Electrical Engineering,22,True,9.4,82.4,7.61,8.68
Female,Electrical Engineering,18,False,12.2,71.2,7.13,8.24
Female,Computer Science,21,True,16.3,55.4,7.35,9.0
Male,Computer Science,23,False,9.9,86.3,6.15,7.52
Male,Computer Science,19,False,2.9,73.7,7.05,6.84
Male,Psychology,24,False,14.2,64.1,9.49,10.0
Female,Mathematics,19,False,13.8,57.5,8.14,8.92
Male,Computer Science,19,False,0.3,74.0,4.76,4.86
Female,Nuclear Sciences,19,False,10.0,68.8,8.84,9.06
Female,Psychology,24,True,2.0,85.7,,8.4
Female,Computer Science,22,False,6.7,66.5,7.1,7.3
Male,Psychology,19,True,5.5,,8.29,8.16
Female,Psychology,24,False,14.0,79.0,6.55,8.26
Male,Computer Science,24,False,10.6,79.3,,8.06
Female,Mathematics,21,False,3.6,71.7,9.15,8.38
Male,Electrical Engineering,24,True,14.4,76.8,7.2,9.04
Male,Mathematics,22,True,2.8,69.6,5.44,5.92
Female,Psychology,19,False,11.7,72.3,7.43,8.4
Male,Mathematics,24,False,5.9,81.6,7.41,7.7
Male,Computer Science,18,False,8.2,76.3,8.82,8.93
Female,Computer Science,24,False,12.5,68.3,7.52,8.5
Female,Mathematics,20,False,12.6,83.5,7.04,8.49
Female,Computer Science,20,True,16.7,46.4,,9.79
Female,Computer Science,20,False,9.6,90.5,7.63,8.59
Female,Electrical Engineering,24,False,11.5,,6.67,7.45
Male,Nuclear Sciences,22,True,7.8,63.7,8.77,8.88
Male,Electrical Engineering,19,False,10.9,69.6,7.71,8.42
Male,Electrical Engineering,23,True,12.2,68.5,7.5,8.75
Female,Computer Science,23,False,9.5,80.1,7.7,8.42
Female,Nuclear Sciences,23,True,1.0,59.4,6.32,6.06
Male,Computer Science,22,False,11.7,72.6,6.92,8.05
Male,Nuclear Sciences,21,True,11.8,64.2,7.5,8.6
Female,Nuclear Sciences,18,False,6.6,73.0,7.29,7.55
Male,Electrical Engineering,18,False,3.6,69.4,8.9,8.16
Female,Nuclear Sciences,20,False,17.4,70.9,7.74,9.45
Male,Psychology,20,False,12.5,64.5,8.44,9.07
Female,Mathematics,24,False,8.9,64.9,7.51,7.89
Male,Mathematics,23,True,4.3,72.9,8.66,8.46
Female,Psychology,24,False,5.9,79.4,7.94,8.03
Female,Computer Science,23,True,16.5,64.0,7.51,9.31
Female,Psychology,20,False,10.7,61.3,7.49,8.07
Female,Nuclear Sciences,19,False,7.2,76.1,6.45,7.12
Female,Computer Science,21,False,12.5,69.7,8.06,8.91
Female,Electrical Engineering,24,False,5.9,78.3,7.46,7.67
Male,Nuclear Sciences,21,True,17.5,60.9,,9.01
Female,Nuclear Sciences,21,True,16.8,52.2,8.72,9.97
Female,Nuclear Sciences,21,True,7.7,64.7,6.12,7.03
Male,Psychology,20,False,6.9,62.3,7.04,7.21
Female,Nuclear Sciences,18,True,-3.1,69.2,8.63,7.26
Female,Electrical Engineering,20,True,2.6,63.6,7.85,7.46
Female,Computer Science,21,False,3.3,77.4,7.45,7.26
Male,Mathematics,20,False,10.7,67.1,,8.39
Male,Electrical Engineering,21,False,8.4,71.5,7.7,8.08
Female,Computer Science,22,False,3.3,71.6,5.83,6.01
Female,Psychology,23,True,8.6,71.9,7.12,8.01
Male,Psychology,18,False,12.5,69.8,9.28,9.77
Female,Computer Science,22,False,12.6,,6.77,8.13
Female,Psychology,19,True,0.5,62.0,7.15,6.62
Female,Electrical Engineering,20,True,9.4,84.0,6.9,8.22
Female,Mathematics,19,False,3.1,67.6,7.4,7.0
Male,Computer Science,24,False,14.5,56.9,,8.11
Male,Computer Science,20,True,13.9,,8.04,9.45
Male,Mathematics,23,False,5.5,61.5,7.72,7.46
Female,Nuclear Sciences,22,False,6.2,76.7,8.35,8.31
Male,Computer Science,23,False,7.7,92.1,6.34,7.44
Male,Psychology,24,False,-1.3,62.1,7.13,6.04
Male,Computer Science,21,False,11.7,73.3,7.25,8.3
Female,Mathematics,23,False,8.6,52.4,8.0,7.94
Female,Electrical Engineering,23,False,14.9,74.5,,8.37
Male,Electrical Engineering,21,False,4.5,61.1,8.51,7.85
Male,Computer Science,20,False,6.9,63.8,8.81,8.48
Female,Mathematics,21,False,2.5,59.0,6.41,6.04
Male,Computer Science,22,False,5.0,77.3,6.96,7.17
Male,Mathematics,23,False,4.1,80.1,6.91,7.05
Male,Psychology,21,True,15.0,70.2,10.4,10.0
Male,Computer Science,24,False,6.5,61.4,7.03,7.12
Male,Mathematics,24,False,10.6,85.9,9.35,9.85
Male,Mathematics,23,False,8.1,62.5,6.11,6.74
Male,Nuclear Sciences,22,True,3.7,48.4,6.41,6.31
Female,Nuclear Sciences,19,False,9.2,74.6,6.74,7.59
Male,Computer Science,22,False,13.0,59.0,6.57,7.73
Female,Electrical Engineering,18,True,4.0,79.9,7.21,7.54
Female,Mathematics,18,False,14.0,66.2,6.72,8.13
Male,Mathematics,18,True,5.8,76.0,6.6,7.31
Female,Electrical Engineering,23,True,7.6,84.0,8.77,9.26
Male,Nuclear Sciences,24,False,,57.9,8.85,9.26
Female,Nuclear Sciences,20,False,6.7,64.3,8.54,8.27
Male,Psychology,24,False,10.2,69.2,8.08,8.57
Male,Mathematics,20,True,8.4,85.4,7.6,8.59
Male,Electrical Engineering,20,False,10.6,63.4,6.95,7.72
Female,Mathematics,24,True,-1.9,64.1,6.45,5.81
Male,Psychology,23,True,0.9,74.8,7.9,7.46
Female,Mathematics,22,True,13.1,64.2,6.21,7.9
Male,Psychology,20,False,15.2,71.5,6.41,8.2
Female,Computer Science,19,False,5.4,54.5,8.77,8.04
Male,Computer Science,24,False,8.8,92.1,9.59,9.88
Female,Nuclear Sciences,24,False,11.5,56.5,,8.41
Male,Computer Science,18,True,13.5,66.8,8.72,9.76
Male,Psychology,22,False,-0.1,69.7,7.23,6.44
Male,Computer Science,18,False,,89.1,6.03,6.84
Male,Computer Science,24,False,8.3,56.8,8.17,8.1
Female,Computer Science,24,True,13.5,89.8,8.13,9.81
Male,Computer Science,20,False,22.5,77.6,7.58,10.0
Female,Electrical Engineering,22,False,8.9,74.2,7.23,7.88
Male,Mathematics,21,False,3.0,60.2,8.56,7.65
Female,Nuclear Sciences,19,False,12.0,75.7,6.42,7.81
Male,Psychology,20,True,16.6,62.8,6.65,8.7
Male,Mathematics,24,False,10.5,82.7,6.39,7.7
Female,Psychology,20,True,5.5,60.3,7.59,7.64
Male,Psychology,19,False,14.8,68.9,6.3,8.01
Male,Electrical Engineering,24,False,13.3,64.4,6.75,8.01
Female,Mathematics,19,True,4.9,60.1,6.72,6.94
Female,Mathematics,21,False,11.9,77.4,7.21,8.38
Male,Electrical Engineering,20,False,15.0,75.4,,7.86
Male,Nuclear Sciences,23,True,15.9,82.1,7.6,9.65
Female,Electrical Engineering,20,False,9.7,52.2,8.87,8.71
Male,Mathematics,18,True,8.2,80.6,7.65,8.5
Male,Electrical Engineering,22,False,16.1,95.1,9.2,10.0
Male,Mathematics,22,False,3.9,65.5,8.97,8.17
Female,Mathematics,18,False,12.2,89.0,8.36,9.46
Female,Computer Science,24,False,3.1,67.4,7.58,7.12
Male,Psychology,22,False,15.3,56.3,7.52,8.68
Male,Computer Science,19,False,8.7,66.9,8.34,8.48
Male,Mathematics,22,True,16.3,80.5,7.07,9.3
Female,Electrical Engineering,22,False,12.5,,,6.91
Male,Computer Science,18,False,3.9,64.0,8.04,7.49
Male,Computer Science,24,True,17.1,75.9,6.26,8.76
Female,Computer Science,21,False,17.8,70.0,6.44,8.58
Male,Nuclear Sciences,22,False,14.4,75.8,7.5,8.93
Female,Psychology,23,False,6.2,72.4,7.4,7.56
Male,Mathematics,22,True,8.5,74.8,5.95,7.24
Male,Electrical Engineering,21,True,10.7,65.7,7.68,8.59
Male,Electrical Engineering,18,True,6.5,72.3,8.56,8.71
Female,Mathematics,21,False,18.5,60.7,6.26,8.37
Female,Psychology,18,True,10.7,82.9,8.9,9.79
Female,Electrical Engineering,19,False,-3.5,63.7,5.78,4.8
Male,Psychology,18,True,11.7,81.3,9.83,10.0
Female,Computer Science,19,False,8.3,,7.05,7.53
Male,Electrical Engineering,19,False,9.6,72.0,7.66,8.24
Male,Psychology,18,False,8.2,65.1,5.42,6.33
Female,Mathematics,23,True,14.0,59.8,7.43,8.8
Male,Mathematics,20,False,15.6,52.6,7.75,8.82
Male,Computer Science,18,True,11.4,59.4,7.41,8.38
Male,Computer Science,22,False,8.3,66.8,6.88,7.4
Male,Electrical Engineering,23,False,9.8,72.1,6.46,7.43
Male,Computer Science,23,True,10.1,80.1,8.74,9.54
Female,Mathematics,22,False,6.0,65.5,7.53,7.48
Male,Psychology,20,False,12.9,61.2,9.19,9.59
Female,Computer Science,23,True,12.3,55.6,6.92,8.1
Female,Nuclear Sciences,19,False,17.7,74.8,7.02,9.06
Male,Computer Science,20,True,16.3,83.8,8.4,10.0
Male,Mathematics,24,False,6.6,82.7,5.71,6.64
Male,Mathematics,22,False,14.1,77.1,6.17,7.98
Female,Computer Science,20,True,5.2,76.4,8.71,8.71
Male,Computer Science,18,False,13.5,87.0,6.21,8.11
Female,Electrical Engineering,20,False,7.4,73.3,5.5,6.43
Male,Nuclear Sciences,19,False,4.9,76.5,9.56,8.96
Female,Computer Science,18,False,11.4,66.8,5.97,7.22
Male,Psychology,21,False,-3.4,56.4,7.7,6.01
Male,Electrical Engineering,22,False,1.2,63.2,,6.75
Female,Electrical Engineering,22,False,9.1,69.9,4.41,5.85
Female,Mathematics,20,False,10.4,70.6,7.21,8.02
Male,Mathematics,23,False,8.2,89.3,7.99,8.61
Female,Mathematics,18,False,2.1,70.8,7.89,7.25
Male,Electrical Engineering,21,False,5.9,81.8,8.49,8.46
Female,Electrical Engineering,18,False,12.0,65.6,7.07,8.06
Female,Computer Science,22,False,12.9,66.9,8.28,9.07
Male,Mathematics,18,False,9.9,56.7,6.74,7.34
Male,Nuclear Sciences,21,False,15.8,62.6,5.95,7.79
Male,Electrical Engineering,23,False,12.0,75.3,6.07,7.56
Female,Nuclear Sciences,20,False,6.3,70.1,5.89,6.47
Female,Electrical Engineering,19,True,8.6,79.4,8.61,9.2
Male,Mathematics,18,False,3.0,71.8,5.83,5.97
Male,Psychology,19,False,9.5,66.5,7.8,8.22
Female,Psychology,22,False,15.6,91.5,7.21,9.22
Female,Computer Science,20,True,,69.1,7.39,8.86
Female,Psychology,24,True,17.0,81.6,9.0,10.0
Male,Electrical Engineering,20,False,8.5,66.0,,7.51
Male,Computer Science,18,False,16.7,77.1,8.17,9.77
Male,Electrical Engineering,23,True,9.0,79.3,7.54,8.51
Female,Psychology,20,False,17.4,72.1,7.33,9.18
Male,Nuclear Sciences,18,False,9.9,46.5,10.03,9.44
Female,Computer Science,18,True,13.5,70.2,5.91,7.87
Male,Mathematics,19,False,17.4,82.3,8.92,10.0
Female,Psychology,20,False,9.0,75.3,8.22,8.61
Female,Mathematics,18,False,11.1,74.5,6.97,8.03
Female,Electrical Engineering,19,False,,52.8,9.29,10.0
Male,Electrical Engineering,21,False,9.3,,5.47,6.48
Male,Computer Science,24,False,3.4,74.1,6.93,6.84
Male,Psychology,19,False,20.7,74.1,6.17,8.91
Female,Psychology,19,True,7.7,82.1,7.95,8.66
